,target,Machine,energy,mode
0,normal_sleep_1,slpxDahu2,4033.425308227539,Idle
1,normal_sleep_2,slpxDahu2,3728.635757446289,Idle
2,normal_sleep_3,slpxDahu2,4479.364875793457,Idle
3,normal_sleep_4,slpxDahu2,4439.8797302246085,Idle
4,normal_sleep_5,slpxDahu2,3508.5238723754883,Idle
5,normal_sleep_6,slpxDahu2,4544.497924804688,Idle
6,normal_sleep_7,slpxDahu2,3451.2675552368164,Idle
7,normal_sleep_8,slpxDahu2,4003.86026763916,Idle
8,normal_sleep_9,slpxDahu2,3352.2369995117188,Idle
9,normal_sleep_10,slpxDahu2,3073.4807891845703,Idle
10,normal_sleep_11,slpxDahu2,4570.6983795166025,Idle
11,normal_sleep_12,slpxDahu2,2749.752944946289,Idle
12,normal_sleep_13,slpxDahu2,4522.045684814453,Idle
13,normal_sleep_14,slpxDahu2,3643.584442138672,Idle
14,normal_sleep_15,slpxDahu2,4444.834945678711,Idle
15,normal_sleep_16,slpxDahu2,2958.578582763672,Idle
16,normal_sleep_17,slpxDahu2,4385.5214767456055,Idle
17,normal_sleep_18,slpxDahu2,3854.237518310547,Idle
18,normal_sleep_19,slpxDahu2,4495.993850708008,Idle
19,normal_sleep_20,slpxDahu2,3681.331268310547,Idle
20,normal_sleep_21,slpxDahu2,4526.178352355957,Idle
21,normal_sleep_22,slpxDahu2,3076.7009811401367,Idle
22,normal_sleep_23,slpxDahu2,4446.296356201172,Idle
23,normal_sleep_24,slpxDahu2,2859.8442916870117,Idle
24,normal_sleep_25,slpxDahu2,4699.039176940918,Idle
25,normal_sleep_26,slpxDahu2,3935.715408325195,Idle
26,normal_sleep_27,slpxDahu2,4050.655937194824,Idle
27,normal_sleep_28,slpxDahu2,4531.550956726074,Idle
28,normal_sleep_29,slpxDahu2,3463.146224975586,Idle
29,normal_sleep_30,slpxDahu2,4314.828468322754,Idle
30,normal_normal_1,slpxDahu2,8654.864677429201,Job
31,normal_normal_2,slpxDahu2,8470.265357971191,Job
32,normal_normal_3,slpxDahu2,8500.501083374023,Job
33,normal_normal_4,slpxDahu2,8530.108520507812,Job
34,normal_normal_5,slpxDahu2,8693.815307617188,Job
35,normal_normal_6,slpxDahu2,8613.714988708496,Job
36,normal_normal_7,slpxDahu2,8618.645423889158,Job
37,normal_normal_8,slpxDahu2,8928.53744506836,Job
38,normal_normal_9,slpxDahu2,9072.366844177246,Job
39,normal_normal_10,slpxDahu2,9085.751251220705,Job
40,normal_normal_11,slpxDahu2,8627.579620361328,Job
41,normal_normal_12,slpxDahu2,9109.739234924316,Job
42,normal_normal_13,slpxDahu2,8745.437828063965,Job
43,normal_normal_14,slpxDahu2,8624.847785949707,Job
44,normal_normal_15,slpxDahu2,9416.36082458496,Job
45,normal_normal_16,slpxDahu2,8629.348106384277,Job
46,normal_normal_17,slpxDahu2,9179.140373229979,Job
47,normal_normal_18,slpxDahu2,8632.452072143555,Job
48,normal_normal_19,slpxDahu2,8626.662467956543,Job
49,normal_normal_20,slpxDahu2,9092.794822692873,Job
50,normal_normal_21,slpxDahu2,8623.948814392092,Job
51,normal_normal_22,slpxDahu2,8503.972496032715,Job
52,normal_normal_23,slpxDahu2,8622.382675170898,Job
53,normal_normal_24,slpxDahu2,9080.563720703123,Job
54,normal_normal_25,slpxDahu2,8505.888755798342,Job
55,normal_normal_26,slpxDahu2,8505.188224792479,Job
56,normal_normal_27,slpxDahu2,8810.789840698242,Job
57,normal_normal_28,slpxDahu2,8627.312812805176,Job
58,normal_normal_29,slpxDahu2,8627.325210571289,Job
59,normal_normal_30,slpxDahu2,8636.71517944336,Job
